Unnamed: 0,식품명,1인분칼로리(kcal),탄수화물(g),단백질(g),지질(g),콜레스트롤(g),식이섬유(g),나트륨(g),등록일
125,다랑어(냉동),34.0,0.0,7.4,0.3,15.0,0.0,12.0,2012-01-17
126,다랑어(통조림),59.0,0.0,3.6,4.7,7.6,0.0,87.0,
127,다시마,3.0,1.5,0.4,0.1,0.0,0.2,194.0,2012-01-04
128,다시마(말린것),1.0,0.5,0.1,0.0,0.0,0.0,31.0,2012-01-06
129,다시마튀각,68.0,7.2,1.2,4.1,0.0,0.6,360.0,
130,단무지,2.0,0.7,0.1,0.0,0.0,0.2,224.0,
131,단팥빵,249.0,44.6,6.5,5.2,3.4,0.8,143.0,
132,달걀,55.0,1.1,4.7,3.3,188.0,0.0,61.0,
133,달걀국,73.0,3.5,6.1,3.7,199.0,0.1,532.0,2012-01-04
134,달걀말이,74.2,2.0,4.9,5.0,191.5,0.1,305.0,
135,달걀부침(달걀후라이),73.3,1.3,5.3,5.0,210.7,0.0,121.0,2012-01-04
136,달걀찜,50.3,1.2,4.3,3.0,168.6,0.0,305.0,2012-01-04
137,달래,3.0,0.6,0.3,0.0,0.0,0.1,1.0,2012-01-04
138,달래된장찌개,30.0,2.9,2.7,1.2,0.0,0.3,448.0,2012-01-04
139,달래무침,32.0,3.0,1.1,2.2,0.0,0.5,61.0,2012-01-04
140,닭개장,141.1,5.9,13.1,7.8,92.6,1.1,573.0,2012-01-17
141,닭고기,171.0,0.9,18.1,10.1,71.3,0.0,63.0,2012-01-04
142,닭고기(가슴),198.0,0.6,17.9,12.9,74.1,0.0,55.0,
143,"닭고기(가슴,껍질제거)",97.0,1.1,22.1,0.4,71.3,0.0,39.0,2012-01-17
144,닭고기(날개),210.0,0.8,16.6,14.4,110.2,0.0,65.0,2012-01-04
145,닭고기(다리),120.0,0.8,17.3,4.1,78.9,0.0,109.0,
146,"닭고기(다리,껍질제거)",114.0,0.9,19.1,3.6,89.3,0.0,82.0,2012-01-11
147,닭도리탕,201.0,12.2,17.1,9.7,74.2,0.7,544.0,2012-01-04
148,닭볶음(닭갈비),322.7,20.7,23.4,16.8,102.9,1.0,913.0,2012-01-04
149,닭양념튀김,335.2,21.4,20.2,19.0,136.4,0.8,339.0,2012-01-04
150,닭죽,526.3,67.2,45.4,7.7,131.4,0.9,363.0,2012-01-04
151,닭찜,254.3,15.4,22.3,11.7,95.6,0.6,500.0,2012-01-04
152,닭튀김,328.4,7.4,24.9,21.3,163.8,0.0,662.0,2012-01-04
153,당근,3.0,0.7,0.1,0.0,0.0,0.1,2.0,
154,당면,70.0,17.2,0.0,0.0,0.0,0.0,1.0,
155,대구,72.0,0.2,15.8,0.5,60.3,0.0,107.0,2012-01-04
156,대구매운탕,119.0,9.1,18.2,2.3,53.6,1.5,485.0,2012-01-04
157,대두,57.0,4.7,5.3,2.7,0.0,0.7,0.0,
158,대추(건과),12.0,2.9,0.2,0.1,0.0,0.1,0.0,2012-01-04
159,더덕,11.0,2.5,0.8,0.1,0.0,0.3,1.0,2012-01-18
160,더덕무침,31.0,6.1,1.4,0.7,0.0,0.6,198.0,2012-01-18
161,도라지,29.0,7.2,0.7,0.1,0.0,0.5,7.0,2012-01-18
162,도라지나물,62.0,8.8,1.0,3.1,0.0,0.6,175.0,2012-01-18
163,도라지생채,41.0,9.5,1.2,0.6,0.0,0.7,264.0,2012-01-18
164,도우넛(링),309.0,30.5,5.5,19.5,82.5,0.2,270.0,2012-01-04
165,도우넛(팥),439.0,50.3,7.3,16.8,121.0,0.9,207.0,2012-01-04
166,도토리묵,30.0,7.1,0.1,0.1,0.0,0.1,39.0,
167,도토리묵무침,52.0,8.6,1.1,1.7,0.0,0.3,405.0,2012-01-11
